instancia,ordenes,pasillos,obj,tiempo,expected
instance_0001,61,116,15.0,1,15.0
instance_0002,7,33,2.0,1,2.0
instance_0003,82,124,6.8,1,12.0
instance_0004,16,91,1.8,1,3.5
instance_0005,2625,161,171.66666666666666,1,177.88
instance_0006,10341,184,603.0,1,691.0
instance_0007,8320,180,287.2,1,392.25
instance_0008,2185,168,139.2,1,162.94
instance_0009,70,304,1.4456521739130437,1,4.42
instance_0010,1602,383,12.191489361702128,1,17.11
instance_0011,1029,375,10.146596858638745,1,16.85
instance_0012,133,342,6.0,1,11.25
instance_0013,8375,413,94.625,1,117.38
instance_0014,12402,413,178.9090909090909,1,181.64
instance_0015,7367,402,148.33333333333334,1,149.33
instance_0016,1108,88,85.0,1,85.0
instance_0017,417,83,36.5,1,36.5
instance_0018,2682,90,109.4,1,117.2
instance_0019,2257,134,202.0,1,202.0
instance_0020,5,5,4.5,1,5.0
