instancia,ordenes,aisles,it,obj,expected,tiempo
instance_0001,11321,185,0,532.0,631.5,0
instance_0002,2162,165,0,144.875,180.64,0
instance_0003,2070,164,0,124.28571428571428,149.6,0
instance_0004,2448,163,0,142.85714285714286,155.67,0
instance_0005,6468,179,0,345.3333333333333,368.0,0
instance_0006,1857,165,0,73.27777777777777,83.97,0
instance_0007,1841,165,0,96.0,108.0,0
instance_0008,12334,398,0,192.33333333333337,227.1,0
instance_0009,5581,417,0,67.76470588235294,82.5,0
instance_0010,14952,482,0,427.3333333333333,444.0,0
instance_0011,45112,482,0,883.2,898.8,0
instance_0012,28263,483,0,554.7272727272727,567.64,0
instance_0013,38214,483,0,738.6666666666666,756.78,0
instance_0014,38202,483,0,865.1666666666666,885.17,0
instance_0015,11541,398,0,133.11111111111111,166.14,0
