instancia,ordenes,obj,tiempo,it
instance_0001,61.0,15.0,1.0,3.0
instance_0002,7.0,6.0,1.0,2.0
instance_0003,82.0,12.0,1.0,4.0
instance_0004,16.0,3.5,1.0,4.0
instance_0005,2625.0,177.875,75.0,2.0
instance_0006,10341.0,691.0,52.0,4.0
instance_0007,8320.0,392.25,32.0,4.0
instance_0008,2185.0,162.94117647058823,79.0,2.0
instance_0009,70.0,4.416666666666667,1.0,5.0
instance_0010,1602.0,16.580952380952382,102.0,2.0
instance_0011,1029.0,15.732394366197184,52.0,2.0
instance_0012,133.0,11.25,1.0,4.0
instance_0013,8375.0,117.3846153846154,55.0,5.0
instance_0014,12402.0,181.27272727272728,70.0,3.0
instance_0015,7367.0,149.33333333333334,36.0,5.0
instance_0016,1108.0,85.0,1.0,2.0
instance_0017,417.0,36.5,1.0,4.0
instance_0018,2682.0,117.2,5.0,3.0
instance_0019,2257.0,202.0,1.0,1.0
instance_0020,5.0,5.0,1.0,2.0
Tiempo total,,,9.466666666666667,
