instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,61,116,3,15.0,15.0,0.0,1.0,3
instance_0002,7,33,1,2.0,2.0,0.0,1.0,1
instance_0003,82,124,4,12.0,12.0,0.0,1.0,3
instance_0004,16,91,2,3.5,3.5,0.0,1.0,4
instance_0005,2625,161,8,177.875,177.88,0.0049999999999954525,28.0,2
instance_0006,10341,184,1,691.0,691.0,0.0,4.0,5
instance_0007,8320,180,4,392.25,392.25,0.0,7.0,4
instance_0008,2185,168,17,162.94117647058823,162.94,0.0011764705882342241,73.0,2
instance_0009,70,304,12,4.416666666666667,4.42,0.0033333333333329662,1.0,5
instance_0010,1602,383,103,16.941747572815533,16.79,0.15174757281553397,301.0,5
instance_0011,1029,375,20,16.85,16.85,0.0,240.0,5
instance_0012,133,342,4,11.25,11.25,0.0,1.0,4
instance_0013,8375,413,13,117.3846153846154,117.38,0.00461538461540556,9.0,4
instance_0014,12402,413,11,181.63636363636363,181.64,0.003636363636360329,20.0,4
instance_0015,7367,402,3,149.33333333333334,149.33,0.0033333333333303017,3.0,4
instance_0016,1108,88,2,85.0,85.0,0.0,1.0,2
instance_0017,417,83,2,36.5,36.5,0.0,1.0,4
instance_0018,2682,90,5,117.2,117.2,0.0,2.0,3
instance_0019,2257,134,1,202.0,202.0,0.0,1.0,1
instance_0020,5,5,2,5.0,5.0,0.0,1.0,2
Tiempo total,0,0,0,,,,11.616666666666667,0
