5,5,4,true,3.0,1,13
5,5,4,true,4.0,1,13
1,3,1,true,1.3333333333333333,1,12
5,5,4,true,6.0,1,14
2,2,3,true,2.0,1,12
3,3,3,true,3.0,1,14
2,3,3,true,6.0,1,13
3,8,7,true,10.0,1,14
5,10,10,true,5.0,1,15
10,6,10,true,6.0,1,16
10,5,10,true,9.0,1,15
5,9,5,true,10.5,1,15
4,8,9,true,7.0,1,15
4,8,4,true,7.5,1,14
4,7,9,true,8.0,1,14
8,6,8,true,12.0,1,15
6,3,5,true,9.0,1,15
8,9,8,true,10.0,1,15
6,4,10,true,8.333333333333334,1,15
3,5,6,true,7.0,1,15
8,5,5,true,15.0,1,15
10,4,4,true,10.0,1,16
8,9,9,true,7.0,1,15
10,3,4,true,5.0,1,15
10,10,9,true,6.0,1,15
3,5,10,true,3.0,1,13
4,10,4,true,15.0,1,15
